Country,coicop,Main category,Consumption category,Difference in share of total expenditure,Average inflation in 2019,Average inflation in 2020,Average inflation in 2021,Average inflation in 2022,Average inflation in 2023,Average inflation in 2024
AT,CP021,"Alcoholic beverages, tobacco and narcotics",Alcoholic beverages,-0.1387982002618969,0.9432735953965468,1.580997610005939,0.4206560562286549,4.32012660812839,9.090544838858976,
AT,CP022,"Alcoholic beverages, tobacco and narcotics",Tobacco,1.277847355281765,1.026460509008212,0.8094473917111156,3.661582893602067,2.933723036447097,4.521947472597171,
AT,CP031,Clothing and footwear,Clothing,-1.603018117506295,0.5926258171558249,-0.2032889198694783,1.140090391875334,1.692320354919348,5.264032603706687,
AT,CP032,Clothing and footwear,Footwear,0.0864664023910874,1.551642522052197,0.641552563414365,0.1821567060728955,2.980465003796367,4.84627322541947,
AT,CP011,Food and non-alcoholic beverages,Food,3.010267736614061,1.255528237063493,2.373019327706275,0.697924127007039,10.62625591054402,10.96349167901139,
AT,CP012,Food and non-alcoholic beverages,Non-alcoholic beverages,0.5132084268466879,-0.1789703352226381,1.84968465801398,0.6171046791321281,11.49363784126493,12.59500192554047,
AT,CP041,Housing (rentals and repairs),Actual rentals for housing,11.0587793132403,2.971033144277671,4.091370245000145,2.012031186532263,0.8557948575403224,7.83171420269247,
AT,CP094,Other,Recreational and cultural services,-0.7090958611494679,3.317208763488024,2.602205536150674,2.33540077785735,4.031468351107679,6.376270497691753,
AT,CP095,Other,"Newspapers, books and stationery",0.0840876843060507,1.869140812967723,4.16479920061341,5.317920505715712,3.692760340046366,10.42976694416767,
AT,CP096,Other,Package holidays,-4.704390756777264,0.7755032268241027,3.967210228108319,4.057080914646721,2.05361281059722,11.61130274397368,
AT,CP101,Other,Pre-primary and primary education,-0.3331394678094028,1.825279197558118,0.534708409883014,1.85473076639426,3.544807492858964,4.545356310902343,
AT,CP102,Other,Secondary education,-0.2205071664829107,1.928270881578587,1.600093575368984,1.782347916148902,0.9672292193885408,7.877848997190831,
AT,CP103,Other,Post-secondary non-tertiary education,-0.1102535832414553,2.862531111069844,1.752429336244347,2.01308193329195,3.19839344119465,5.710022437252394,
AT,CP104,Other,Tertiary education,0.103117428986345,4.904438296714481,5.031633273321679,3.046736753062361,2.648324716814992,2.883507654217336,
AT,CP112,Other,Accommodation services,-0.6686576537038426,2.232987543723873,3.011528603307891,5.570776582899881,11.23154656801601,11.18225619281062,
AT,CP111,Other,Catering services,-0.5670863914727715,2.950527992532583,3.479224295200325,3.309456845998218,8.455911739898708,12.1323985315142,
AT,CP093,Other,"Other recreational items and equipment, gardens and pets",-0.3878499837652489,1.369273760254358,0.9505605944401262,0.3866498855563172,6.435536660614614,7.809225629255498,
AT,CP121,Other,Personal care,0.1610392143569911,2.216068825872604,1.997692361622722,0.3202662226878382,2.786299756960381,6.610513232920766,
AT,CP123,Other,Personal effects n.e.c.,0.2014774218026163,1.71185588942574,3.583379188892618,2.051774888862253,7.112353271138069,8.941504730208676,
AT,CP124,Other,Social protection,-0.4576653595610789,1.836298759872412,2.780690114286656,2.795431848141115,3.162168473827657,7.549308984815312,
AT,CP125,Other,Insurance,-2.276433207380211,1.129813148787947,1.139417592833447,1.39833466201863,2.198341492518878,7.674087405691338,
AT,CP105,Other,Education not definable by level,-0.3402756220645132,2.233144974602126,1.549469961368951,1.693864922360518,2.833881279517135,6.370527258306911,
AT,CP092,Other,Other major durables for recreation and culture,-0.5560253523773503,2.622041702292595,-0.6338385741400988,1.527049371400002,4.757723071083118,3.391071531264071,
AT,CP127,Other,Other services n.e.c.,0.5179658630167616,2.211862328553182,2.805347467520484,1.917657245452883,3.25949126017136,2.476563893179557,
AT,CP08,Other,Communications,0.6091897015779227,-2.687859178703182,-2.705278545108878,-2.615064073525529,-0.2525651071062128,-3.241014287584279,
AT,CP051,Other,"Furniture and furnishings, carpets and other floor coverings",-1.593503245166147,1.748355368832315,2.230138010199974,2.01051038720028,9.365012734084326,8.388947601556717,
AT,CP052,Other,Household textiles,-0.1173897374965657,-0.9748310900359566,-1.96595197596374,1.549625386868936,9.92871351173253,1.771780603244861,
AT,CP053,Other,Household appliances,-0.2419156292482419,2.377449361039398,1.457912628611274,2.808466499525643,7.515339429333565,6.025205867877454,
